SKU,Item Name,Category,Subcategory,Measure Type,Base UOM,Reporting UOM,Inventory UOM,Cost Account,Inventory Account
"11768","Soy Paper White 20each","grocery","","Each","ea","ea","each","5000","1400"
"11824","Green Garlic 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"11850","Estrella - Bev 12fl.oz","beer","","Each","ea","ea","ea","5000","1400"
"11866","Greek Yogurt 1quart","dairy","","Each","ea","ea","quart","5000","1400"
"12025","Camembert 8oz","dairy","","Volume","oz","oz","oz","5000","1400"
"12027","Cheddar Cheese, White Vintage 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"12092","Almond, Smoked 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"12120","Cous Cous 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"12188","Kombu 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"12197","Burrata 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"12221","Dijon Mustard 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"122339","Fernet Branca 750ml","liquor","Liqueur","Each","ea","ea","ea","5000","1400"
"122466","Hendricks 1L","liquor","Gin","Each","ea","ea","ea","5000","1400"
"12372","Worcestershire Sauce 1gal","grocery","","Volume","oz","oz","gal","5000","1400"
"12386","Alta Cucina Tomatos 108oz","grocery","","Volume","oz","oz","oz","5000","1400"
"12606","Shishito Pepper 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"12830","Cornichons 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"12906","Hen Of The Woods Mushroom 3.5oz","produce","","Volume","oz","oz","oz","5000","1400"
"12954","Black Truffle Salt 100g","grocery","","Weight","oz","oz","g","5000","1400"
"13037","Molasses 1gal","grocery","","Volume","oz","oz","gal","5000","1400"
"13120307","Chilean Seabass 1lb","seafood","","Volume","oz","oz","lb","5000","1400"
"13241","Hon Dashi Soup Stock 1kg","grocery","","Weight","oz","oz","kg","5000","1400"
"13593","Sherry Vinegar 1gal","grocery","","Volume","oz","oz","gal","5000","1400"
"137842-B12","Chateau Haut Brion 1982 750ml","wine","","Each","ea","ea","ea","5000","1400"
"13886","Butter, European Style 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"13888","Pomegranate Juice 24oz","beverage","","Volume","oz","oz","oz","5000","1400"
"13946","Artichoke Hearts, Marinated 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"139686","San Pellegrino 750ml","beverage","","Volume","oz","oz","ml","5000","1400"
"14164","Mango Cart 12fl.oz","beer","","Each","ea","ea","ea","5000","1400"
"14166","Sesame Seed, Black 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"14204","Mozzarella Cheese Ovaline 3lb","dairy","","Volume","oz","oz","lb","5000","1400"
"14218","Gluten Free Flour 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"14453","Celery Salt 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"148485","Antica Sambuca 750ml","liquor","Liqueur","Each","ea","ea","ea","5000","1400"
"15005","Dark Muscovado Sugar 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"15043","Puree- Mandarin Orange CASE 6kg","food","produce","Weight","oz","oz","kg","5000","1400"
"15348","Maldon Sea Salt 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"15919","Ginger, Pickled 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"16096","Pomegrante Seeds 1each","produce","","Each","ea","ea","each","5000","1400"
"161795","Remy Martin XO 750ml","liquor","Cognac","Each","ea","ea","ea","5000","1400"
"16186","Yuzu Juice 200ml","grocery","","Volume","oz","oz","ml","5000","1400"
"16433","Brown Sugar, Dark 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"16801","Mozzarella Cheese Perlini 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"17030","Almond Paste 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"1773","Sambal Oelek, Sauce 18oz","grocery","","Volume","oz","oz","oz","5000","1400"
"18023","Kale, Baby Mix 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"18113","Pick Up Item - Bev 1each","beverage","","Each","ea","ea","each","5000","1400"
"18322","Tomato, Heirloom Cherry 1Case","produce","","Each","ea","ea","case","5000","1400"
"18338","Raspberry Sorbet 1gal","dairy","","Volume","oz","oz","gal","5000","1400"
"1853","La Colombe Cold Brew Concentrate BIB 3gal","beverage","","Volume","oz","oz","gal","5000","1400"
"18714","Petite Red Sorrel 1pack","produce","","Each","ea","ea","pack","5000","1400"
"18771","Tajin 1each","beverage","","Each","ea","ea","each","5000","1400"
"18866","Chantrelle 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"18894","Stella Liberte 11.2fl.oz","beer","","Each","ea","ea","ea","5000","1400"
"18905","Verve Coffee 1(LB)","beverage","","Volume","oz","oz","each","5000","1400"
"190131","Vanilla Bean 1oz","grocery","","Volume","oz","oz","oz","5000","1400"
"19064","Red Gem Lettuce 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"191307","Woodford Reserve 1L","liquor","Whiskey","Each","ea","ea","ea","5000","1400"
"1922146","Etienne Sauzet, 'Jardin du Calvaire', Bourgogne Cotes de Beaune 2022 750ml","wine","","Each","ea","ea","ea","5000","1400"
"19347","Watercress 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"19348","Squash Flower, Male 1each","produce","","Each","ea","ea","each","5000","1400"
"19683","Cherry Tomato, Sungold 1bk","produce","","Each","ea","ea","bk","5000","1400"
"19700","Glucose Syrup 1kg","grocery","","Weight","oz","oz","kg","5000","1400"
"19987","Romaine Hearts 1each","produce","","Each","ea","ea","each","5000","1400"
"200335","Cointreau 750ml","liquor","Liqueur","Each","ea","ea","ea","5000","1400"
"201010","Red Bull 8.4fl.oz","beverage","","Volume","oz","oz","fl","5000","1400"
"20422","Sushi Rice 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"20821","Eel Sauce 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"21394","Creme Fraiche - Bev 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"21478","Powdered Sugar 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"21504","Tapioca Pearls 24oz","grocery","","Volume","oz","oz","oz","5000","1400"
"21591","Korean Pear 1case","produce","","Each","ea","ea","case","5000","1400"
"21716","Spinach 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"21798","Cotija Cheese 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"22002","Castelveltrano Olives 1lb","beverage","","Volume","oz","oz","lb","5000","1400"
"22177","Maple Syrup 1gal","grocery","","Volume","oz","oz","gal","5000","1400"
"22209","Soy Milk 1quart","dairy","","Each","ea","ea","quart","5000","1400"
"222369","Giffard Lichi-Li 750ml","liquor","Liqueur","Each","ea","ea","ea","5000","1400"
"22253","Tangerine Juice 0.5gal","beverage","","Volume","oz","oz","gal","5000","1400"
"22444","Pea Tendrils 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"22559","Saffron 1oz","grocery","","Volume","oz","oz","oz","5000","1400"
"22702","Yakiniku sauce Bansankan 1each","grocery","","Each","ea","ea","each","5000","1400"
"22855","MZKN MUSTARD & SHOYU DRS 32oz","grocery","","Volume","oz","oz","oz","5000","1400"
"23152505","Rock Shrimp 1lb","seafood","","Volume","oz","oz","lb","5000","1400"
"23158018","Lobster Meat, Frozen 1lb","seafood","","Volume","oz","oz","lb","5000","1400"
"23288","FZN-BREAD HOAGIE ROLL MARTIN 36each","bakery","","Each","ea","ea","each","5000","1400"
"233901","Cointreau 1L","liquor","Liqueur","Each","ea","ea","ea","5000","1400"
"23401","Basmati Rice 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"23510","Popcorn Kernels 30oz","grocery","","Volume","oz","oz","oz","5000","1400"
"23697","Miyako Tempura Batter Mix 1each","grocery","","Each","ea","ea","each","5000","1400"
"23755","Corn Tortilla 4" 12each","grocery","","Each","ea","ea","each","5000","1400"
"23853","Martin's Potato Bun 1roll","bakery","","Volume","oz","oz","roll","5000","1400"
"24568","Romaine Heart, Case 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"24717","Topo Chico 12oz","beverage","","Volume","oz","oz","oz","5000","1400"
"24723","Sumac 18oz","grocery","","Volume","oz","oz","oz","5000","1400"
"24737	 ","Korean Chili Threads, Spice 1oz","grocery","","Volume","oz","oz","oz","5000","1400"
"24741","Chile Flakes 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"24763","Zaatar 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"24851","Caraway Seed 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"24888","Ufra Biber Chile 1oz","grocery","","Volume","oz","oz","oz","5000","1400"
"24895","Espelette Pepper Powder 8.8oz","grocery","","Volume","oz","oz","oz","5000","1400"
"24907","Calabrian Pepper, Extra Long 2.6kg","grocery","","Weight","oz","oz","kg","5000","1400"
"25015","Kosher Salt 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"2522702SX","Bouchard, Corton Charlemagne 2022 750ml","wine","","Each","ea","ea","ea","5000","1400"
"25267","Micro Carrot Top 1pack","produce","","Each","ea","ea","pack","5000","1400"
"25278","Tomato, Baby Heirloom Mix 1pint","produce","","Each","ea","ea","pint","5000","1400"
"25390","Tomato, Heirloom Mix 1case","produce","","Each","ea","ea","case","5000","1400"
"25550","Sambal Sauce 1gal","grocery","","Volume","oz","oz","gal","5000","1400"
"25613","Peewee Potato 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"25615","Avocado Oil Blend 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"25635","Burrata 8oz","dairy","","Volume","oz","oz","oz","5000","1400"
"25661","Russet Potato 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"268195","Johnnie Walker Black 750ml","liquor","Whiskey","Each","ea","ea","ea","5000","1400"
"27022","Oat Milk 32fl.oz","beverage","","Volume","oz","oz","fl","5000","1400"
"27040","Pink Radish 1each","produce","","Each","ea","ea","each","5000","1400"
"27572","Agrumato, Lemon 250ml","grocery","","Volume","oz","oz","ml","5000","1400"
"27668","Dark Chocolate Chips, Vegan 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"27694","Wonton Wrapper 14oz","grocery","","Volume","oz","oz","oz","5000","1400"
"27981","Paprika, Smoked 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"28127","Soy Milk 32fl.oz","dairy","","Volume","oz","oz","fl","5000","1400"
"28234","Potato Bun, 4" Frozen 12each","bakery","","Each","ea","ea","each","5000","1400"
"28627","Leek 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"28680","Shoestring Fries 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"294498","Makers Mark 46 750ml","liquor","Whiskey","Each","ea","ea","ea","5000","1400"
"2A22CUVSM","Ashes & Diamonds, 'Saffron Mountain Cuvee', Cabernet Sauvignon 2022 750ml","wine","","Each","ea","ea","ea","5000","1400"
"2A22WHN8	","Ashes & Diamonds, No. 8', Blanc 2022 750ml","wine","","Each","ea","ea","ea","5000","1400"
"30319","SUIHANYO MIOLA 1each","grocery","","Each","ea","ea","each","5000","1400"
"30367","Katsuo Mirin Furikake 1.7oz","grocery","","Volume","oz","oz","oz","5000","1400"
"30409","Chili Oil 1L","grocery","","Volume","oz","oz","l","5000","1400"
"30436 1 ","Mizkan Awase Vinegar, No MSG 5.28gal","grocery","","Volume","oz","oz","gal","5000","1400"
"30501196","Shrimp 8/12 1lb","seafood","","Volume","oz","oz","lb","5000","1400"
"30533","Ponzu 1L","grocery","","Volume","oz","oz","l","5000","1400"
"30553","Miyako Ajipon 1gal","grocery","","Volume","oz","oz","gal","5000","1400"
"30554","Ponzu 1gal","grocery","","Volume","oz","oz","gal","5000","1400"
"30620","Toyo Johakuto (Japanese Sugar) 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"31480","GINJO AKAZU 60.9FLOZ 60.9fl.oz","grocery","","Volume","oz","oz","fl","5000","1400"
"318964","Luxardo Maraschino Cherries 400g","beverage","","Weight","oz","oz","g","5000","1400"
"33121","Domaine De Montille, 'Clos du Chateau', Bourgogne Blanc 2021 750ml","wine","","Each","ea","ea","ea","5000","1400"
"33412","Siracha 28oz","grocery","","Volume","oz","oz","oz","5000","1400"
"33505","Yusen (Grain Vinegar) 1L","grocery","","Volume","oz","oz","l","5000","1400"
"33552","KAMOSHIBI RED VINEGAR 61fl.oz","grocery","","Volume","oz","oz","fl","5000","1400"
"341848","Licor 43 1L","liquor","Liqueur","Each","ea","ea","ea","5000","1400"
"344101","Hennessy VS 1L","liquor","Cognac","Each","ea","ea","ea","5000","1400"
"34675","Crunchy Garlic 1oz","grocery","","Volume","oz","oz","oz","5000","1400"
"354788","Bulleit Bourbon 750ml","liquor","Whiskey","Each","ea","ea","ea","5000","1400"
