Vendor Item Number,Vendor,Item,Purchase U of M,Vendor Item Name,Each Amt,Contract Price,Acceptable Variance %,Primary,Contract Expiration
"28680","","28680","Case","Shoestring Fries 1lb",400,,,Y,
"2A22CUVSM","","2A22CUVSM","Case","Ashes & Diamonds, 'Saffron Mountain Cuvee', Cabernet Sauvignon 2022 750ml",12,,,Y,
"2A22WHN8	","","2A22WHN8	","Case","Ashes & Diamonds, No. 8', Blanc 2022 750ml",12,,,Y,
"30319","","30319","Each","SUIHANYO MIOLA 1each",1,,,Y,
"30367","","30367","Each","Katsuo Mirin Furikake 1.7oz",1.7,,,Y,
"30409","","30409","Case","Chili Oil 1L",1.8,,,Y,
"30436 1 ","","30436 1 ","Each","Mizkan Awase Vinegar, No MSG 5.28gal",675.84,,,Y,
"30501196","","30501196","Each","Shrimp 8/12 1lb",16,,,Y,
"30533","","30533","Case","Ponzu 1L",1.8,,,Y,
"30553","","30553","Each","Miyako Ajipon 1gal",128,,,Y,
"30554","","30554","Each","Ponzu 1gal",128,,,Y,
"30620","","30620","Case","Toyo Johakuto (Japanese Sugar) 1lb",35.2,,,Y,
"31480","","31480","Each","GINJO AKAZU 60.9FLOZ 60.9fl.oz",60.9,,,Y,
"33412","","33412","Case","Siracha 28oz",336,,,Y,
"33505","","33505","Case","Yusen (Grain Vinegar) 1L",20,,,Y,
"33552","","33552","Each","KAMOSHIBI RED VINEGAR 61fl.oz",61,,,Y,
"34675","","34675","Each","Crunchy Garlic 1oz",1,,,Y,
"3616","","3616","Case","Senryo Mirin 1.8L",10.8,,,Y,
"39211","","39211","Each","Roasted Sesame Dressing 64fl.oz",64,,,Y,
"40250","","40250","Case","Eggplant, 18 Size 1case",0.5,,,Y,
"41040","","41040","Each","Blackberry 1each",1,,,Y,
"41330","","41330","Case","Pomegranate 1each",0.5,,,Y,
"41420","","41420","Case","Limes 1each",100,,,Y,
"49587","","49587","Each","Magu Roll 1each",1,,,Y,
"49758","","49758","Case","Dashi Kombu 1lb",528,,,Y,
"514","","514","Each","White Levain XL, Loaf 1each",1,,,Y,
"55722","","55722","Case","Turnip, Baby 1Bunch",3,,,Y,
"60744","","60744","Each","Battera Konbu 1each",1,,,Y,
"60747","","60747","Case","Rishiri Dasi Konbu 1lb",35.2,,,Y,
"60750","","60750","Each","Wakame 1lb",16,,,Y,
"61658","","61658","Case","Shiro Tosaka Reifukanso 1.76oz",35.2,,,Y,
"63015","","63015","Each","hangiri 10/100 each 10each",1,,,Y,
"63019","","63019","Each","TAKA TOKUYO KIZAMI 1each",1,,,Y,
"64051","","64051","Case","1Goma Mamenorisan (Soy Paper) 1each",40,,,Y,
"66814","","66814","Each","Thai Basil 4oz",1,,,Y,
"66840","","66840","Case","Oregano 1oz",4,,,Y,
"673","","673","Each","Rustic Loaf 1each",1,,,Y,
"71096","","71096","Each","Oyster Sauce Jar 1each",1,,,Y,
"71111","","71111","Case","Dates, Pitted 1lb",80,,,Y,
"71150","","71150","Case","Kiwi - Food 1each",6,,,Y,
"71285","","71285","Case","Cantaloupe - Food 1melon",2,,,Y,
"71319","","71319","Each","Hiyashi Wakame 1lb",16,,,Y,
"71501","","71501","Case","Almond, Sliced 1lb",80,,,Y,
"71510","","71510","Case","Cashew 1lb",80,,,Y,
"71531","","71531","Each","Hazelnut, Blanched 5lb",80,,,Y,
"71570","","71570","Case","Pistachio, No Shell, No Salt 1lb",80,,,Y,
"71580","","71580","Case","Pecans 1lb",80,,,Y,
"72298","","72298","Case","Cheddar Cheese, Shredded 1lb",80,,,Y,
"77118","","77118","Each","Garbanzo Bean, Canned 108oz",108,,,Y,
"77176","","77176","Each","Capers 32oz",32,,,Y,
"77373","","77373","Case","Romaine 1each",3,,,Y,
"8311","","8311","Each","Sake, Seasoned 18L",18,,,Y,
"89030","","89030","Each","CLOVER 18-8 FUKAGATA 1each",1,,,Y,
"91129","","91129","Each","Hangiri Bay Yakinori, Gold 1each",1,,,Y,
"92377","","92377","Case","Yellow Squash, Straight 1lb",80,,,Y,
"9689658","","9689658","Case","Maison No. 9 Rose 750ml",12,,,Y,
"9760","","9760","Each","Takara Mirin 700ml",700,,,Y,
"9767867","","9767867","Case","Billaud Simon, Chablis 2023 750ml",6,,,Y,
"99124","","99124","Case","Broccoli 1lb",80,,,Y,
"99436","","99436","Case","Haricot Vert (Green Bean) 1lb",32,,,Y,
"99451","","99451","Case","Cippolini Onion 1lb",32,,,Y,
"A4-X","","A4X","Bottle","Brocard, 'Valourent', Chablis 2022 750ml",1,,,Y,
"A6-X","","A6X","Bottle","Domaine Girard, 'Monts Damnes', Sancerre 2023 750ml",1,,,Y,
"ABR1501023","","ABR1501023","Bottle","Aubert, 'UV-SL Vineyard', Chardonnay 2023 750ml",1,,,Y,
"ABR1501023","","ABR1501023","Bottle","Aubert, 'UV-SL Vineyard', Chardonnay 2023 750ml",1,,,N,
"ABR2201023","","ABR2201023","Each","Aubert, Powder House', Chardonnay 2023 750ml",1,,,Y,
"ABR3201022","","ABR3201022","Bottle","Aubert, 'UV Vineyard', Pinot Noir 2023 750ml",1,,,Y,
"","","ABR3801023","Bottle","Aubert, 'Park Avenue Vineyard', Pinot Noir 2023 750ml",1,,,Y,
"ABR3801023","","ABR3801023","Bottle","Aubert, 'Park Avenue Vineyard', Pinot Noir 2023 750ml",1,,,N,
"AG2275","","AG2275","Each","Eisele Vineyard, 'Altagracia', Cabernet Sauvignons 2022 750ml",1,,,Y,
"","","APEROLLIQ6CS","Case","Aperol Liqueur (6/Case)",6,,,Y,
"","","ARDBEG10YR","Bottle","Ardbeg Malt 10 Year",1,,,Y,
"ARI-25204098","","ARI25204098","Bottle","Domaine Aricoques, 'Rhea' 2023 750ml",1,,,Y,
"ARI-25204102","","ARI25204102","Bottle","Domaine Aricoques, 'Dione' 2023 750ml",1,,,Y,
"","","BARC000001","Bottle","BIB - Coke 5gal",640,,,Y,
"","","BARC000002","Bottle","BIB - Cranberry 2.5gal",320,,,Y,
"","","BARC000003","Bottle","BIB - Diet Coke - Bev 5gal",640,,,Y,
"","","BARC000003","Bottle","BIB - Diet Coke - Bev 5gal",640,,,N,
"","","BARC000004","Bottle","BIB - Ginger Ale 2.5gal",320,,,Y,
"","","BARC000004","Bottle","BIB - Ginger Ale 2.5gal",320,,,N,
"","","BARC000005","Bottle","BIB - Lemonade 2.5gal",320,,,Y,
"","","BARC000006","Bottle","BIB - Sprite - Bev 5gal",640,,,Y,
"","","BARC000006","Bottle","BIB - Sprite - Bev 5gal",640,,,N,
"","","BARC000007","Bottle","BIB - Tonic 2.5gal",320,,,Y,
"","","BARC000008","Bottle","BIB - Unsweetened Ice Tea 2.5gal",320,,,Y,
"","","BARC000009","Bottle","Blackberry Syrup 0.5gal",64,,,Y,
"","","BARC000010","Bottle","Blackberry Syrup 1each",1,,,Y,
"","","BARC000011","Bottle","BS Logo 2"Ice Cubes 1each 1each",25.3605,,,Y,
"","","BARC000011","Case","BS Logo 2"Ice Cubes 1each 1each",100,,,N,
"","","BARC000011","Case","BS Logo 2"Ice Cubes 1each 1each",8,,,N,
"","","BARC000011","Case","BS Logo 2"Ice Cubes 1each 1each",48,,,N,
"","","BARC000012","Bottle","Carrot Passionfruit Syrup 0.5gal",64,,,Y,
"SPWEB1982","","BARC000013","Bottle","Cranberry Juice 64fl.oz",25.3605,,,Y,
"SPWEB1982","","BARC000013","Case","Cranberry Juice 64fl.oz",512,,,N,
"","","BARC000014","Bottle","Cucumber Mint Syrup 0.5gal",64,,,Y,
"","","BARC000014","Bottle","Cucumber Mint Syrup 0.5gal",64,,,N,
"","","BARC000016","Bottle","Custom Logo Event Ice 1each",1,,,Y,
"","","BARC000017","Case","Cutwater Ginger Beer Can 12fl.oz",288,,,Y,
"","","BARC000018","Case","Dehydrated Pineapple Slices 1each",80,,,Y,
"","","BARC000020","Bottle","Delilah Miami Logo Ice Cube 1each",25.3605,,,Y,
"","","BARC000020","Case","Delilah Miami Logo Ice Cube 1each",80,,,N,
"","","BARC000020","Bottle","Delilah Miami Logo Ice Cube 1each",1,,,N,
"","","BARC000020","Case","Delilah Miami Logo Ice Cube 1each",100,,,N,
"","","BARC000021","Bottle","Delilah Mints 1case",25.3605,,,Y,
"","","BARC000021","Case","Delilah Mints 1case",10,,,N,
"","","BARC000021","Bottle","Delilah Mints 1case",1,,,N,
"","","BARC000022","Bottle","Elderflower Syrup 1gal",128,,,Y,
"","","BARC000025","Bottle","Ginger Syrup 0.5gal",64,,,Y,
"","","BARC000026","Bottle","Ginger Syrup 1gal",128,,,Y,
"1409","","BARC000027","Case","Grapefruit 1 each - Bev 1each",32,,,Y,
"","","BARC000028","Bottle","Grapefruit Juice 1gal",128,,,Y,
"","","BARC000029","Bottle","Kiwi Juice 0.5gal",64,,,Y,
"","","BARC000029","Bottle","Kiwi Juice 0.5gal",64,,,N,
"1853","","BARC000030","Bottle","La Colombe Cold Brew Concentrate BIB 3gal",384,,,Y,
"1853","","BARC000030","Bottle","La Colombe Cold Brew Concentrate BIB 3gal",384,,,N,
"","","BARC000031","Bottle","Lemon Juice - Bev 1gal",128,,,Y,
"","","BARC000031","Case","Lemon Juice - Bev 1gal",512,,,N,
"","","BARC000032","Bottle","Lemon Juice 10L BIB 10L",338.14,,,Y,
"","","BARC000032","Bottle","Lemon Juice 10L BIB 10L",338.14,,,N,
"","","BARC000033","Bottle","Lemon Juice 1gal",128,,,Y,
"","","BARC000033","Bottle","Lemon Juice 1gal",128,,,N,
"","","BARC000034","Bottle","Lime Juice 0.5gal",64,,,Y,
"","","BARC000035","Bottle","Lime Juice 10L BIB 10L",338.14,,,Y,
"","","BARC000035","Bottle","Lime Juice 10L BIB 10L",338.14,,,N,
"","","BARC000036","Bottle","Lime Juice 1gal",128,,,Y,
"","","BARC000036","Case","Lime Juice 1gal",384,,,N,
"","","BARC000036","Case","Lime Juice 1gal",512,,,N,
"","","BARC000036","Bottle","Lime Juice 1gal",128,,,N,
"","","BARC000037","Case","Lime Juice 1L",101.442,,,Y,
"","","BARC000038","Bottle","Lime Juice 1quart",25.3605,,,Y,
"","","BARC000038","Bottle","Lime Juice 1quart",32,,,N,
"","","BARC000041","Bottle","Mango Syrup 0.5gal",64,,,Y,
"","","BARC000042","Bottle","MEP Grapefruit juice 3L 3L",101.442,,,Y,
"","","BARC000042","Bottle","MEP Grapefruit juice 3L 3L",101.442,,,N,
"","","BARC000043","Bottle","Nice Guy Logo 2"Ice Cubes 1each",25.3605,,,Y,
"","","BARC000043","Case","Nice Guy Logo 2"Ice Cubes 1each",48,,,N,
"01751","","BARC000045","Bottle","Orange Juice 0.5gal",64,,,Y,
"01751","","BARC000045","Bottle","Orange Juice 0.5gal",64,,,N,
"01751","","BARC000046","Bottle","orange juice 3L 3L",101.442,,,Y,
"985862","","BARC000047","Case","Owens Mixer Ginger Beer 250ml",202.884,,,Y,
"","","BARC000048","Bottle","Passionfruit Syrup 0.5gal",64,,,Y,
"","","BARC000049","Bottle","Pineapple Juice 1gal",128,,,Y,
"","","BARC000050","Bottle","Pineapple Juice 3L",101.442,,,Y,
"","","BARC000051","Bottle","Pineapple Juice 46fl.oz",25.3605,,,Y,
"","","BARC000051","Case","Pineapple Juice 46fl.oz",552,,,N,
"","","BARC000052","Bottle","Pumpkin Sprice Syrup 750ml",25.3605,,,Y,
"","","BARC000052","Bottle","Pumpkin Sprice Syrup 750ml",25.3605,,,N,
"","","BARC000053","Bottle","Raspberry Juice 0.5gal",64,,,Y,
"","","BARC000054","Bottle","Raspberry Syrup 0.5gal",64,,,Y,
"22472","","BARC000055","Bottle","Red Pepper Stuffed Olive 3.3lb",52.8,,,Y,
"","","BARC000057","Bottle","Standard Dehydrated Orange Wheel 1each",25.3605,,,Y,
"","","BARC000057","Case","Standard Dehydrated Orange Wheel 1each",100,,,N,
"","","BARC000058","Bottle","Strawberry Juice 1gal",128,,,Y,
"","","BARC000059","Bottle","Strawberry Syrup 0.5gal",64,,,Y,
"","","BARC000059","Case","Strawberry Syrup 0.5gal",128,,,N,
"","","BARC000059","Bottle","Strawberry Syrup 0.5gal",64,,,N,
"","","BARC000060","Bottle","Strawberry Syrup 1gal",128,,,Y,
"","","BARC000061","Bottle","Vanilla Orange Demerara Syrup 1gal",128,,,Y,
"","","BARC000062","Bottle","Watermelon Juice 0.5gal",64,,,Y,
"","","BARC000062","Bottle","Watermelon Juice 0.5gal",64,,,N,
