SKU,Item Name,Vendor Code,Purchase UOM,Pack Size,Inventory UOM,Conversion Factor,Measure Type,Recipe UOM
IT981535,"Liquid Alchemist Ginger Syrup 375ml","","bottle","375mL","mL",12.6803,Each,"oz"
IT981535,"Liquid Alchemist Ginger Syrup 375ml","981535","case","6/375mL","mL",76.0815,Each,"oz"
IT981535,"Liquid Alchemist Ginger Syrup 375ml","","case","1ea","ea",1,Each,"oz"
IT981525,"Liquid Alchemist Grenadine 375ml","981525","case","6/375mL","mL",76.0815,Each,"oz"
BARC000039,"Liquid Alchemist Grenadine 750ml","","bottle","750mL","mL",25.3605,Each,"oz"
BARC000039,"Liquid Alchemist Grenadine 750ml","","case","6/750mL","mL",152.163,Each,"oz"
BARC000039,"Liquid Alchemist Grenadine 750ml","385950","bottle","750mL","mL",25.3605,Each,"oz"
BARC000039,"Liquid Alchemist Grenadine 750ml","","case","1ea","ea",1,Each,"oz"
BARC000040,"Liquid Alchemist Orgeat 375ml","983135","bottle","375mL","mL",12.6803,Each,"oz"
IT981526,"Liquid Alchemist Orgeat 750ml","981526","case","6/750mL","mL",152.163,Each,"oz"
IT981523,"Liquid Alchemist Passionfruit 375ml","","bottle","375mL","mL",12.6803,Each,"oz"
IT981523,"Liquid Alchemist Passionfruit 375ml","981523","case","6/375mL","mL",76.0815,Each,"oz"
IT981522,"Liquid Alchemist Strawberry Syrup 750ml","981522","case","6/750mL","mL",152.163,Each,"oz"
IT318964,"Luxardo Maraschino Cherries 1g","","bottle","750mL","mL",25.3605,Each,"oz"
IT318964,"Luxardo Maraschino Cherries 1g","318964","case","400/1g","g",14.1096,Each,"oz"
IT929494,"Luxardo Maraschino Cherries 1kg","929494","case","3/1kg","kg",3,Each,"oz"
IT2947,"Lychee Nut with Syrup 20fl.oz","","bottle","750mL","mL",25.3605,Each,"oz"
IT2947,"Lychee Nut with Syrup 20fl.oz","2947","bottle","20oz","oz",20,Each,"oz"
IT13508,"Lychee Puree 30oz","13508","case","6/30oz","oz",180,Each,"oz"
IT69128,"Lychee Syrup 16.9oz","69128","bottle","16.9oz","oz",16.9,Each,"oz"
IT69128,"Lychee Syrup 16.9oz","","case","1ea","ea",1,Each,"oz"
IT17766,"Lychee, Canned - Bev 20oz","","bottle","20oz","oz",20,Each,"oz"
IT17766,"Lychee, Canned - Bev 20oz","17766","case","24/20oz","oz",480,Each,"oz"
IT4404BO0680,"Mango Puree - Bev 1kg","4404BO0680","case","6/1kg","kg",6,Each,"oz"
IT4404BO0680,"Mango Puree - Bev 1kg","4404BO0680","bottle","1kg","kg",1,Each,"oz"
IT4404BO0680,"Mango Puree - Bev 1kg","","case","1ea","ea",1,Each,"oz"
IT71167,"Mango Puree 30fl.oz","","bottle","750mL","mL",25.3605,Each,"oz"
IT71167,"Mango Puree 30fl.oz","71167","bottle","30oz","oz",30,Each,"oz"
IT71167,"Mango Puree 30fl.oz","1167","case","6/30oz","oz",180,Each,"oz"
BARC000041,"Mango Syrup 0.5gal","","bottle","0.5gal","gal",64,Each,"oz"
IT9523465,"Maraschino Cherries 1gal","9523465","case","1gal","gal",64,Each,"oz"
IT9523465,"Maraschino Cherries 1gal","65700","case","4/1gal","gal",512,Each,"oz"
IT9523465,"Maraschino Cherries 1gal","","bottle","1gal","gal",128,Each,"oz"
BARC000042,"MEP Grapefruit juice 3L 3L","","bottle","3L","L",101.442,Each,"oz"
BARC000042,"MEP Grapefruit juice 3L 3L","","bottle","3L","L",101.442,Each,"oz"
IT25272,"Micro Verbena - Bev 1each","25272","case","200/1each","each",200,Each,"oz"
IT5201041,"Mint - Bev 1lb","5201041","case","1lb","lb",8,Each,"oz"
IT1686,"Mint - Bev 4oz","1686","bottle","4oz","oz",4,Each,"oz"
IT18088,"Mint, Organic 1lb","18088","bottle","1lb","lb",16,Each,"oz"
IT18088,"Mint, Organic 1lb","","case","1ea","ea",1,Each,"oz"
IT18088,"Mint, Organic 1lb","","case","1ea","ea",1,Each,"oz"
BARC000043,"Nice Guy Logo 2"Ice Cubes 1each","","bottle","750mL","mL",25.3605,Each,"oz"
BARC000043,"Nice Guy Logo 2"Ice Cubes 1each","","case","48/1each","each",48,Each,"oz"
IT22472,"Olive Stuffed With Pepper 1lb","22472","case","3/1lb","lb",48,Each,"oz"
