invoice_id,invoice_number,vendor,date,invoice_total,missing_value,storage_path
6daa7339-3376-4d66-ba89-c1394dc232ea,70805899,Chefs Warehouse Midwest LLC,2026-01-08,1184.04,875.49,uploads/1769303505636-Invoics Kitchen_pg19-19.pdf
49829cf6-f99c-41b3-92b6-98194aff33a8,70805899,The Chefs Warehouse,2026-01-08,1184.04,1119.95,uploads/1769303539206-Invoics Kitchen_pg20-20.pdf
3ef09cac-e7a9-43fe-9839-81d82ae5ca5f,01527112,Chef's Produce,2026-01-08,174.86,86.50000000000001,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769306047279-Invoices Kitchen_pg6-6.pdf
5e735b0d-dab1-447e-ba95-a572d41b5f77,70789722,The Chefs Warehouse,2026-01-07,887.1,846.9,uploads/1769303212902-Invoices Kitchen (2)_pg2-2.pdf
e2cfb94e-ccf9-456c-9a3c-e130777f9b01,971154,Mr. Greens,2026-01-07,208.48,35.66999999999999,uploads/1769303186880-Invoices Kitchen (2)_pg13-13.pdf
85a35c65-27e9-433c-b783-984f312c3650,70789722,Chefs Warehouse Midwest LLC,2026-01-07,887.1,623.1,uploads/1769305655114-Invoices Kitchen (2)_pg4-4.pdf
3c704acf-6669-4dc4-b676-e4a2a3cdf0e8,16852177,Spec's Wine, Spirits & Finer Foods,2026-01-07,840.61,1386.23,uploads/1769290791274-Jan_19__Doc_3.pdf
0565c9aa-87e0-4285-995d-1898dd265a39,70777359,The Chefs Warehouse,2026-01-06,1523.32,1347.32,uploads/1769303419135-Invoics Kitchen_pg13-13.pdf
e1b6e468-fed5-4a41-9c6d-74db8bd97296,970660,Mr. Greens,2026-01-06,647.04,383.08,uploads/1769303128892-Invoices Kitchen (2)_pg11-11.pdf
15bbfb2d-23de-4e7b-962d-f3391491dbfc,70777359,Chefs Warehouse Midwest LLC,2026-01-06,1523.32,1347.32,uploads/1769305850222-Invoics Kitchen_pg13-13.pdf
24d0e40a-8c89-4d9d-842b-300513fcf13b,70761327,Chefs Warehouse Midwest LLC,2026-01-05,2533.42,2136.53,uploads/1769303379965-Invoics Kitchen_pg11-11.pdf
d94e9c63-259e-410a-8bf1-3c51bf1cec62,06785216,Dairyland Produce, LLC (dba Hardie's Fresh Foods),2026-01-05,154,43,uploads/1769303480199-Invoics Kitchen_pg18-18.pdf
a816fa22-82fe-461d-9a24-10c5bd1c9da3,1841471,Spec's Wine, Spirits & Finer Foods,2026-01-04,16947.53,8602.21,uploads/1769297243237-Jan_13__Doc_1.pdf
1435ad26-685a-4fcf-bdbe-7d35b762a4ae,9130139318,Southern Glazer's of TX,2026-01-02,768,240,uploads/1769292489606-Jan_23__Doc_3.pdf
8771ae9b-68f7-440f-afea-3026b3d1db88,66343,Beaune Imports,2025-11-19,716.4,79.20000000000005,
5cfa5d03-2271-4243-b35b-bf6f184707e5,26-179827,SEAFOOD SUPPLY COMPANY,2025-01-19,1156.9,1009.0200000000001,uploads/1769306605632-Kitchen Invoices 6_pg9-9.pdf
b9735d0b-2584-4f38-90a8-b5ed98126ee0,68251026,OAK FARMS-DALLAS DFA DAIRY BRANDS,2025-01-12,268.91,138.28000000000003,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769307497429-New1_page5.pdf
db82eee8-1643-45f6-b6a0-9bc89f712a1c,7179054,Republic National Distributing Company,2024-01-22,10576,4264,uploads/1769292489606-Jan_23__Doc_3.pdf
590f6355-79a5-4631-8e5e-6fff0775efd5,7173861,Republic National Distributing Company,2024-01-14,264702.51,238000,uploads/1769292489606-Jan_23__Doc_3.pdf
0e01fe08-c6c9-4f1a-af36-f939b39b89fd,996071673,SYSCO North Texas,2024-01-09,1016.77,857.8299999999999,uploads/1769305482667-Invoices Kitchen (1)_pg5-5.pdf
356c8aeb-e865-42d2-b82e-0919e10478e3,9999-9999-9999,SYSCO North Texas,2020-04-07,1989.58,880.0099999999995,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769307561932-New1_page8.pdf
0d68b986-ad84-478f-b9c7-c1f866b97702,999-4199-999,SYSCO,2020-03-07,1162.13,843.1100000000001,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769311184551-New8_page5.pdf
5c485f5d-4efb-4a2e-8b05-ecd9f25a885c,164414,Sysco San Diego, Inc.,2018-07-03,2332.79,1091.51,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769310428330-New6_page10.pdf
fb37a9cc-87b5-47c2-b3c4-7925da39718b,4698981771,BTI To Customer,2018-01-10,1258.16,689.6500000000001,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769310734394-New7_page1.pdf
1ddcbd77-da75-4a18-856f-abdf52692a40,00025506,MARQAL,2017-09-01,287.01,8804.82,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769310985248-New7_page4.pdf
a3c8827b-afdb-466a-bbf9-6ea980bf859d,996090620,SYSCO,2017-07-01,3039.25,2917.63,uploads/1769306546776-Kitchen Invoices 6_pg3-3.pdf
b409134f-df8d-48f8-b6e9-5b8874b7b36c,999-9999,SYSCO NORTH TEXAS FOODSERVICE,2017-03-07,2705.61,2489.9300000000003,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769307584480-New1_page9.pdf
3bde5ecc-0504-4e28-8678-c4123df0b42d,26-76007B,SEAFOOD SUPPLY COMPANY,2017-01-22,519.13,422.4,uploads/1769306843570-Kitchen Invoices 8_pg9-9.pdf
7cf2edc9-32d7-445b-9acf-720cc17d6a31,996105050,SYSCO North Texas,2016-11-07,2317.72,1532.5699999999997,uploads/1769306521256-Kitchen Invoices 6_pg2-2.pdf
6b20ff60-2355-4f5a-bee5-5f51174d9474,G260914,Marvin,2007-11-30,660241,659123.98,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769310586352-New6_page20.pdf
72679edb-7e23-42d7-aca9-835489d657e4,7507-3471,SYSCO North Texas,2007-11-12,2705.61,2560.5,uploads/1769305416550-Invoices Kitchen (1)_pg4-4.pdf
00813ccb-887f-4675-9491-1d0fe8efbd42,23950,SEAFOOD SUPPLY COMPANY,2007-07-21,2852.88,2622.88,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769310199593-New4_page6.pdf
87faf05b-570c-4ffb-b53b-79b45710e473,7507-347,SEAFOOD SUPPLY COMPANY,2007-07-20,5671.5,2659.270000000001,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769306089668-Invoices Kitchen (1)_pg6-6.pdf
cba01f71-99ee-45ae-aece-1261a5bd5c58,990071673,SYSCO North Texas,2007-07-20,1016.77,632.51,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769306390967-Invoices Kitchen (1)_pg6-6.pdf
46ced304-81f3-40cf-9c61-593829032dd7,2952,SEAFOOD SUPPLY COMPANY,2007-01-12,1032.96,608.96,uploads/1769303845096-Kitchen Invoices 3_pg5-5.pdf
